Title,Rating,Votes,Duration,Genre
169. Murder Mubarak,5.8, (51K),2h 20m,Horror
170. Swap,2.9, (347),1h 26m,Horror
171. Anaconda,4.9, (644),1h 24m,Horror
172. Baby Invasion,4.6, (507),1h 20m,Horror
173. The Dead Thing,4.7, (947),1h 34m,Horror
174. Its Name Was Mormo,3.7, (117),1h 33m,Horror
175. The Hostage,6.0, (11),1h 27m,Horror
176. Pacific Fear,3.4, (220),1h 25m,Horror
177. The Lost Daughter,5.9, (294),1h 39m,Horror
178. Mom,5.3, (190),1h 35m,Horror
179. Unspeakable: Beyond the Wall of Sleep,6.1, (55),1h 30m,Horror
180. Succubus,3.5, (854),1h 36m,Horror
181. La Patasola,2.6, (55),1h 32m,Horror
182. Sunrise,3.8, (1.1K),1h 33m,Horror
183. Seven Cemeteries,4.6, (629),1h 24m,Horror
184. Do Not Enter,5.3, (611),1h 25m,Horror
185. Alien Country,4.4, (366),1h 36m,Horror
186. Black Cab,4.2, (1.7K),1h 28m,Horror
187. Room Service,3.8, (303),47m,Horror
188. Mutants of Nature Cove,3.6, (152),1h 28m,Horror
189. Orang Ikan,6.7, (38),1h 23m,Horror
190. Crackcoon,3.6, (425),1h 28m,Horror
191. 1978,5.4, (220),1h 16m,Horror
192. The Moogai,5.5, (174),1h 26m,Horror
193. Angels Fallen: Warriors of Peace,4.9, (5.8K),1h 43m,Horror
194. Killer Body Count,4.7, (659),1h 49m,Horror
195. Amityville: Where the Echo Lives,1.5, (387),1h 29m,Horror
196. Malice,3.0, (29),1h 34m,Horror
197. Scurry,7.6, (27),1h 30m,Horror
198. Operation Blood Hunt,3.4, (494),1h 33m,Horror
199. Model House,4.0, (1.1K),1h 25m,Horror
200. A Savior Red,5.3, (249),1h 27m,Horror
201. Cora,4.6, (900),1h 44m,Horror
202. Terminator: Skynet Rising,6.7, (269),1h 28m,Horror
203. Beezel,4.9, (1.3K),1h 21m,Horror
204. Bloodline Killer,4.0, (4.7K),1h 45m,Horror
205. Test Screening,6.9, (67),1h 32m,Horror
206. Slay,6.5, (1.2K),1h 39m,Horror
207. Invader,5.7, (65),1h 10m,Horror
208. Conjuring the Cult,5.1, (843),1h 33m,Horror
209. Sayuri,6.4, (308),1h 48m,Horror
210. Krazy House,4.8, (1.5K),1h 29m,Horror
211. Freelance,4.8, (354),1h 50m,Horror
212. X Files,2.1, (64),1h 14m,Horror
213. Seeds,5.8, (111),1h 22m,Horror
214. The Ghost,6.3, (125),1h 32m,Horror
215. Devils Stay,4.9, (298),1h 35m,Horror
216. Destroy All Neighbors,5.3, (2K),1h 25m,Horror
217. Festival of the Living Dead,4.3, (654),1h 28m,Horror
218. Territory,4.8, (83),1h 33m,Horror
219. Mononoke the Movie: The Phantom in the Rain,6.8, (1.3K),1h 29m,Horror
220. The Hangman,3.3, (1K),1h 32m,Horror
221. Tsunami Sharks,2.9, (81),1h 10m,Horror
222. Please Don't Feed the Children,5.5, (68),1h 34m,Horror
223. Consumed,3.7, (613),1h 29m,Horror
224. Tenants,5.5, (107),1h 34m,Horror
225. Cellphone,3.0, (728),1h 28m,Horror
226. Blood Debt,5.4, (142),1h 40m,Horror
227. The Legend of Lake Hollow,3.8, (517),1h 28m,Horror
228. Else,6.0, (246),1h 42m,Horror
229. Butchers Book Three: Bonesaw,5.3, (85),1h 47m,Horror
230. Pusaka,5.3, (162),1h 30m,Horror
231. Ghost Game,3.4, (326),1h 26m,Horror
232. The Demon Disorder,4.8, (1.3K),1h 26m,Horror
233. Desert Road,6.7, (161),1h 30m,Horror
234. Animale,5.9, (303),1h 38m,Horror
235. Cocaine Werewolf,2.3, (304),1h 20m,Horror
236. Buzz House: The Movie,3.3, (1.3K),1h 33m,Horror
237. Within the Pines,7.5, (13),1h 13m,Horror
238. Killington,2.8, (179),1h 27m,Horror
239. 404 Run Run,5.7, (400),1h 44m,Horror
240. Strange Frequencies: Taiwan Killer Hospital,8.0, (44),1h 31m,Horror
241. Possession: Kerasukan,3.6, (292),1h 34m,Horror
242. The Ceremony Is About to Begin,4.4, (565),1h 10m,Horror
243. Monster Mash,3.6, (428),1h 25m,Horror
244. Curse of the Seven Oceans,5.5, (449),1h 34m,Horror
245. Bone Lake,,,1h 34m,Horror
246. Drained,4.5, (319),1h 47m,Horror
247. Steamboat Willie: Blood on the Water,,,,Horror
248. Easter Bloody Easter,3.3, (308),1h 43m,Horror
249. I Heart Willie,6.0, (107),1h 28m,Horror
250. Black,7.1, (2.8K),1h 55m,Horror
251. The Prodigy,4.8, (32),1h 23m,Horror
252. Fangs Out: Blood Apocalypse,6.0, (11),,Horror
253. Siccin 7,4.0, (956),1h 34m,Horror
254. Bystanders,3.9, (324),1h 22m,Horror
255. Salve Maria,6.4, (491),1h 51m,Horror
256. 12 to Midnight,3.6, (286),1h 36m,Horror
257. Scared to Death,6.6, (32),1h 38m,Horror
258. Guna guna istri muda,5.1, (174),1h 38m,Horror
259. Suckers,3.3, (123),1h 7m,Horror
260. Vampire Zombies... From Space!,7.6, (95),1h 38m,Horror
261. Solvent,7.4, (426),1h 34m,Horror
262. Operation Undead,4.6, (414),1h 50m,Horror
263. The Jack in the Box Rises,4.1, (800),1h 32m,Horror
264. Hauntology,3.6, (361),1h 43m,Horror
265. Thaghut,5.8, (306),1h 42m,Horror
266. Another Cabin in the Woods Movie,4.8, (209),1h 17m,Horror
267. Devon,2.6, (298),1h 12m,Horror
268. Up the Catalogue,,,,Horror
269. Horny Teenagers Must Die!,3.2, (237),1h 24m,Horror
270. The Windigo,4.7, (706),1h 25m,Horror
271. Tantra,5.1, (2.4K),2h 16m,Horror
272. Somnium,8.5, (46),1h 32m,Horror
273. Curse of the Sin Eater,4.9, (771),1h 30m,Horror
274. Camp Pleasant Lake,3.3, (2.4K),1h 30m,Horror
275. In Search of Darkness 1990-1994: A Journey Into Iconic '90s Horror,7.9, (130),6h 3m,Horror
276. Chainsaws Were Singing,7.2, (374),1h 57m,Horror
277. Paranoia,4.1, (377),1h 35m,Horror
278. Jhamkudi,6.6, (981),2h 31m,Horror
279. Jimmy and Stiggs,6.2, (46),1h 20m,Horror
280. Lumina,2.1, (676),1h 53m,Horror
281. Spring Garden,4.4, (186),1h 30m,Horror
282. Spiders on a Plane,5.0, (375),1h 18m,Horror
283. The Yorkie Werewolf,5.8, (79),,Horror
284. Temurun,4.6, (343),1h 25m,Horror
285. What Lurks Beneath,4.4, (790),1h 42m,Horror
286. Hunting Matthew Nichols,8.9, (46),1h 36m,Horror
287. The Witch: Revenge,5.3, (832),1h 40m,Horror
288. Last Night at Terrace Lanes,4.3, (639),1h 15m,Horror
289. Tu Sangre,4.5, (82),1h 21m,Horror
290. Death's Sonata,7.8, (295),1h 43m,Horror
291. Haunt Season,4.9, (793),1h 21m,Horror
292. Mother Father Sister Brother Frank,5.9, (261),1h 25m,Horror
293. Bull Shark 3,3.5, (87),1h 16m,Horror
294. Grotesque 2,6.2, (561),,Horror
295. Heresy,6.9, (305),1h 1m,Horror
296. Don't Open the Door,6.6, (8.4K),1h 27m,Horror
297. Haze,6.8, (48),1h 16m,Horror
298. Wanita Ahli Neraka,5.1, (259),1h 35m,Horror
299. Monster on a Plane,5.1, (2.3K),1h 28m,Horror
300. Remnant,2.6, (318),1h 52m,Horror
301. The Forbidden Camp: Mass Possession,6.1, (329),1h 52m,Horror
302. Replicator,3.7, (141),1h 15m,Horror
303. Peripheral,8.9, (24),1h 28m,Horror
304. Z Zone,4.2, (48),1h 23m,Horror
305. Stupid Games,4.2, (390),1h 26m,Horror
306. Dancing Village: The Curse Begins,5.7, (4.2K),2h 2m,Horror
307. Horror in the High Desert 3: Firewatch,5.4, (736),1h 28m,Horror
308. Kifn,7.3, (687),1h 40m,Horror
309. Demonte Colony 2,6.6, (4.4K),2h 24m,Horror
310. Liu mang qu mo shi,5.7, (43),1h 44m,Horror
